id,fen,move,rating
00c89,2r3k1/6pp/p1q2r2/1pn2p2/1B1pPP2/3Pn1QB/1PP2R1P/6RK w - - 3 24,g3g7,400
01DM2,6k1/5p2/1p2pn2/3pN3/1P1P1Pp1/P3r1Pp/2R2P1P/6K1 b - - 0 32,e3e1,400
025sW,r1bq1rk1/4bpp1/2p1p2p/1pPp4/1P4Q1/P3P2P/1B1N1PP1/R3R1K1 w - - 0 18,g4g7,400
03tCw,4r2k/3q2pp/2p3p1/p3p3/Pp1pP3/1P1P1R2/2P5/1K3R2 w - - 1 34,f3f8,400
052is,6k1/1p4pp/6P1/2r2P1P/b7/P2R2K1/2n5/8 w - - 6 44,d3d8,400
04go3,2r3k1/R2R2p1/4p1pp/8/7r/1P6/P4PP1/6K1 b - - 0 32,c8c1,407
04FOX,6k1/4pp1p/6pB/8/b2R4/2P5/r5PP/6K1 w - - 1 24,d4d8,409
01ZiW,8/R7/8/5k2/3r3p/6pP/6P1/6K1 b - - 4 70,d4d1,411
0550i,2r3k1/p1pR1ppp/1p4b1/2r5/2P1P3/5B1P/P4KP1/3R4 w - - 3 26,d7d8,413
02HQm,7k/p6p/1p4pP/2p1r3/2Pp1R2/6PK/P1P5/8 w - - 6 41,f4f8,419
057Sc,3q3k/1p4p1/3R1N1p/6r1/8/7P/PP3PP1/6K1 w - - 8 44,d6d8,423
03mkp,r1b1r1k1/p1R2pp1/2Q4p/8/3N4/2P1q3/PP4PP/R6K b - - 0 24,e3e1,424
04BI3,6kr/p1p2ppp/8/8/3r2bq/8/PPP2NPP/R1B1R1K1 w - - 2 18,e1e8,426
04Bmg,6k1/5ppp/8/3r2P1/1R3p1P/5P2/1P3K2/8 w - - 0 33,b4b8,428
02NvQ,2krr3/1pp3p1/p4p2/5P2/5P2/7P/PPQp2R1/1R1KBB2 b - - 3 30,d2e1q,434
01GC2,3b1k2/pp3prp/8/1Bp5/4R3/1P6/P4PPP/1K6 w - - 0 22,e4e8,437
02qe6,r5k1/pp3ppp/2n1r3/8/8/2N1qB2/PPQ3PP/4RK1R b - - 2 20,e3e1,438
00VC1,1k2r3/p2Q1R2/8/1p5p/P1P3p1/8/6PP/7K b - - 2 44,e8e1,442
01qHx,5k2/p4p1p/1p4p1/8/4P3/2r5/PR3PPP/6K1 b - - 0 23,c3c1,445
01Kn5,8/8/8/5R2/1P6/6k1/r6p/7K b - - 2 50,a2a1,449
00w1s,rn2q1k1/pb3p1p/1p1p2pB/3P3n/8/2bB1N1P/PP3PP1/4R1K1 w - - 1 18,e1e8,456
04Mmx,4r1k1/4P1pb/4r2p/p1p1p3/P2p2PP/1P3R2/2P2R2/6K1 w - - 0 40,f3f8,457
008Nz,6k1/2p2ppp/pnp5/B7/2P3PP/1P2PPR1/r3b2r/3R2K1 w - - 1 29,d1d8,458
01fBk,7k/8/8/2prp3/1p2Nnp1/1P4P1/P4R1P/7K b - - 0 40,d5d1,461
03BFA,8/R7/3r4/4p1p1/4Pp1k/5P2/5K2/8 w - - 0 46,a7h7,462
0266v,rnbqkb1r/ppppp2p/8/7p/2PPp3/8/PP3PP1/RNBQKBN1 w Qkq - 0 6,d1h5,464
0217e,1rb1k2r/b5p1/p2pPp1p/qp1Q4/7N/1P6/P4PPP/R1B1R1K1 b k - 0 19,a5e1,468
